titulo,ano,nota,link
The Grand Budapest Hotel,2014,8.1,https://www.imdb.comtt2278388
12 Years a Slave,2013,8.1,https://www.imdb.comtt2024544
Before Sunrise,1995,8.1,https://www.imdb.comtt0112471
Blade Runner,1982,8.1,https://www.imdb.comtt0083658
Ratatouille,2007,8.1,https://www.imdb.comtt0382932
Memories of Murder,2003,8.1,https://www.imdb.comtt0353969
Spider-Man: No Way Home,2021,8.2,https://www.imdb.comtt10872600
How to Train Your Dragon,2010,8.1,https://www.imdb.comtt0892769
Gone Girl,2014,8.1,https://www.imdb.comtt2267998
"Monsters, Inc.",2001,8.1,https://www.imdb.comtt0198781
Jaws,1975,8.1,https://www.imdb.comtt0073195
In the Name of the Father,1993,8.1,https://www.imdb.comtt0107207
Ford v Ferrari,2019,8.1,https://www.imdb.comtt1950186
The Gold Rush,1925,8.1,https://www.imdb.comtt0015864
Wild Tales,2014,8.1,https://www.imdb.comtt3011894
Sherlock Jr.,1924,8.1,https://www.imdb.comtt0015324
Mary and Max,2009,8.1,https://www.imdb.comtt0978762
The Deer Hunter,1978,8.1,https://www.imdb.comtt0077416
The Wages of Fear,1953,8.1,https://www.imdb.comtt0046268
The General,1926,8.1,https://www.imdb.comtt0017925
Logan,2017,8.1,https://www.imdb.comtt3315342
Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.comtt0031679
Rocky,1976,8.1,https://www.imdb.comtt0075148
On the Waterfront,1954,8.1,https://www.imdb.comtt0047296
Tokyo Story,1953,8.1,https://www.imdb.comtt0046438
Wild Strawberries,1957,8.1,https://www.imdb.comtt0050986
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,https://www.imdb.comtt0325980
The Third Man,1949,8.1,https://www.imdb.comtt0041959
Spotlight,2015,8.1,https://www.imdb.comtt1895587
Maharaja,2024,8.3,https://www.imdb.comtt26548265
Jai Bhim,2021,8.6,https://www.imdb.comtt15097216
La haine,1995,8.1,https://www.imdb.comtt0113247
The Terminator,1984,8.1,https://www.imdb.comtt0088247
The Big Lebowski,1998,8.1,https://www.imdb.comtt0118715
The Sound of Music,1965,8.1,https://www.imdb.comtt0059742
The Best Years of Our Lives,1946,8.1,https://www.imdb.comtt0036868
The Seventh Seal,1957,8.1,https://www.imdb.comtt0050976
Room,2015,8.1,https://www.imdb.comtt3170832
A Silent Voice: The Movie,2016,8.2,https://www.imdb.comtt5323662
Hotel Rwanda,2004,8.1,https://www.imdb.comtt0395169
Platoon,1986,8.1,https://www.imdb.comtt0091763
Before Sunset,2004,8.1,https://www.imdb.comtt0381681
The Incredibles,2004,8,https://www.imdb.comtt0317705
The Exorcist,1973,8.1,https://www.imdb.comtt0070047
Hachi: A Dog's Tale,2009,8.1,https://www.imdb.comtt1028532
Rush,2013,8.1,https://www.imdb.comtt1979320
The Wizard of Oz,1939,8.1,https://www.imdb.comtt0032138
The Passion of Joan of Arc,1928,8.1,https://www.imdb.comtt0019254
Stand by Me,1986,8.1,https://www.imdb.comtt0092005
The Iron Giant,1999,8.1,https://www.imdb.comtt0129167
My Father and My Son,2005,8.2,https://www.imdb.comtt0476735
Chainsaw Man - The Movie: Reze Arc,2025,8.5,https://www.imdb.comtt30472557
The Battle of Algiers,1966,8.1,https://www.imdb.comtt0058946
The Handmaiden,2016,8.1,https://www.imdb.comtt4016934
Network,1976,8.1,https://www.imdb.comtt0074958
Gangs of Wasseypur,2012,8.2,https://www.imdb.comtt1954470
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,https://www.imdb.comtt11032374
Drishyam,2015,8.2,https://www.imdb.comtt4430212
The Grapes of Wrath,1940,8.1,https://www.imdb.comtt0032551
To Be or Not to Be,1942,8.1,https://www.imdb.comtt0035446
Andhadhun,2018,8.2,https://www.imdb.comtt8108198
